trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.3, 'e': 0.09985860935030323}",30,20,-12.738281208771664,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.0980772348493581}",25,17,15.021391120260065,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.3, 'e': 0.09632763823049303}",25,0,9.533512896426819,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.3, 'e': 0.09460925260909797}",20,11,16.824083866832027,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.3, 'e': 0.0929215212131989}",20,5,10.791461629380787,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.09126389720305919}",30,15,18.616979414036127,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.3, 'e': 0.08963584349399842}",20,15,-14.436221728714766,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.3, 'e': 0.08803683258237259}",30,19,-31.05810697765712,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.3, 'e': 0.08646634637465792}",35,13,39.35431008563253,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.3, 'e': 0.08492387601958445}",25,2,29.800631905221472,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.08340892174326339}",25,0,30.81244369297449,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.3, 'e': 0.0819209926872563}",25,11,-16.91001402923679,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.3, 'e': 0.08045960674953244}",30,0,-10.512353542228094,"{0: 27, 1: 1, 2: 0, 3: 2, 4: 0}",0
141,False,"{'a': 0.3, 'e': 0.07902429042826369}",25,10,17.269660793123386,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.3, 'e': 0.07761457866840567}",25,13,20.530334512654687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.3, 'e': 0.07623001471101583}",20,11,15.137456237174483,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.3, 'e': 0.07487014994525978}",20,12,2.9126476273034605,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.3, 'e': 0.0735345437630571}",20,2,28.59911059298322,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.3, 'e': 0.07222276341632082}",25,8,29.321186203142965,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.3, 'e': 0.07093438387674295}",25,17,15.155364817013208,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.3, 'e': 0.06966898769808187}",20,7,25.13062828795785,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.3, 'e': 0.06842616488090583}",25,13,15.13262845150667,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.3, 'e': 0.06720551273974978}",20,6,22.1693991553745,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.3, 'e': 0.06600663577264156}",25,0,3.194843075048512,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
152,False,"{'a': 0.3, 'e': 0.06482914553295599}",20,0,30.026093778094054,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.3, 'e': 0.06367266050355457}",25,14,-21.256059325078287,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.3, 'e': 0.06253680597317077}",20,0,18.329795542621127,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.3, 'e': 0.061421213915000154}",30,8,37.484812959334555,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.3, 'e': 0.060325522867456564}",20,5,12.530767804889875,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.05924937781705543}",20,11,13.585632781164604,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.3, 'e': 0.05819243008338615}",20,9,17.38141081126264,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.3, 'e': 0.05715433720613679}",20,0,19.093445600078105,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.3, 'e': 0.056134762834133725}",20,14,3.3350643943012503,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.3, 'e': 0.05513337661636116}",25,0,25.20781036393055,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.3, 'e': 0.05414985409492427}",25,5,22.409410633403468,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.053183876599922186}",30,17,12.097989601138991,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
